NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Frey;Thomas;800790;Kriens;988;45.0;1368;5;5
Bleve;Vincenzo;115041;Versoix;988;50.0;1369;5;5
Abgottspon;Silvio;911120;Gampel-Steg;988;23.0;1370;5;5
Finger;Stefan;501670;Thörishaus;988;9.0;1371;5;5
Gerber;Michael;614044;Zofingen;987;-6.0;1372;5;5
Ackermann;Holger;717057;Young Stars ZH;987;0.0;1373;5;5
Chappuis;David;404236;Rossens;987;-53.0;1374;7;7
Gerber;Dylan;209030;Coffrane;987;21.0;1375;5;5
Gmilkowsky;Ralph;706039;Urdorf;987;7.0;1376;5;5
Lagrange;Sébastien;404215;Trams-Renens;987;-16.0;1377;6;6
Britschgi;Marcel;802009;Reussbühl;987;7.0;1378;5;5
Huber;Daniel;508063;Burgdorf;986;4.0;1379;5;5
Buhic;Tomislav;310005;Lugano;986;0.0;1380;5;5
Rickenbacher;Adrian;605059;Niedergösgen;986;-13.0;1381;6;6
Wyttenbach;Andreas;504262;Herzogenbuchsee;986;13.0;1382;5;5
Antoine;Matthieu;217087;Yverdon;985;21.0;1383;5;5
Schneider;Erik;511013;Ittigen;985;-15.0;1384;6;6
Kormann;Walter;801529;Zug;985;4.0;1385;5;5
Kessi;Amani;115502;Versoix;985;4.0;1386;5;5
Grüninger;Andreas;606666;Oberwil;984;-4.0;1387;6;6
Baldussi;Claudio;501026;Münchenbuchsee;984;23.0;1388;5;5
Chabloz;Daniel;405768;Eysins;984;15.0;1389;5;5
Gloor;Nicolas;608004;Aarau;984;10.0;1390;5;5
Lampert;Peter;702607;Diessenhofen;984;17.0;1391;6;6
Mirza;Raees;816048;Baar;983;38.0;1392;5;5
Bossi;Andreas;700967;Chur;983;-34.0;1393;6;6
Haldemann;Christof;503872;Worb;982;3.0;1394;5;5
Peter;Dominik;701808;Bronschhofen;982;48.0;1395;4;4
Roth;Dieter;702796;Gossau St.Gallen;982;-15.0;1396;6;6
Müller;Bernhard;701124;Rüti;981;20.0;1397;5;5
Zurfluh;Alfred;800599;Hünenberg;981;-13.0;1398;6;6
Friedli;Daniel;601077;Oberwil;981;0.0;1399;5;5
Burkart;Timo;804033;Zug;980;-3.0;1400;5;5
Hainke;Thorsten;514008;Royal Bern;980;-1.0;1401;6;6
Rudolf;Sandro;701825;BW-Wollishofen;980;11.0;1402;5;5
Wey;Max;801177;Zug;980;17.0;1403;5;5
Chételat;Daniel;215081;Delémont;980;-14.0;1404;6;6
Rossi;Claude;100402;Rapid-Genève;980;-5.0;1405;5;5
Gerber;Adrian;814031;Rapid Luzern;979;59.0;1406;4;4
Grönquist;Philippe;707077;Kloten;979;18.0;1407;5;5
Cifrek;Mladen;601884;Basel;979;2.0;1408;5;5
Michel;Thomas;700685;Greifensee;979;18.0;1409;5;5
Bazan;David;209095;Omega;979;-14.0;1410;6;6
Von Büren;Sämi;615086;Zofingen;978;99.0;1411;4;4
Milenkovic;Ivan;410007;Trams-Renens;978;14.0;1412;5;5
Müller;Yanick;208040;Coffrane;978;24.0;1413;5;5
Rupinski;Gert;903004;Mellingen;977;-21.0;1414;6;6
Vouilloz;Maël;416096;Collombey/Muraz;977;18.0;1415;5;5
Weber;Andreas;701132;Dietikon-Weiningen;977;0.0;1416;5;5
Schmid;Roberto;701869;Dübendorf-Volketswil;977;4.0;1417;5;5
Kohlbacher;Peter;702211;Wolfhausen;977;8.0;1418;5;5
Wilhelm;Hanspeter;717059;Niederhasli;977;8.0;1419;5;5
Lambert;Julien;101993;Meyrin;976;-12.0;1420;5;5
Rasper;Nicolas;707122;Wädenswil;976;14.0;1421;5;5
Foletti;Remo;703002;Romanshorn;976;9.0;1422;5;5
Gubser;Sandro;715014;Muolen;976;14.0;1423;5;5
Blaser;Herbert;709155;BW-Wollishofen;976;0.0;1424;5;5
Roic;Sergio;300375;Locarno;976;22.0;1425;5;5
Nüesch;Lars;101537;Mandement;976;-7.0;1426;5;5
Buess;Timon;912088;Gelterkinden;975;64.0;1427;4;4
Viaud;Dominique;102181;Mandement;975;-1.0;1428;5;5
Riechsteiner;Thomas;600487;Döttingen;975;-30.0;1429;6;6
Jakob;Oliver;505005;Münchenbuchsee;975;40.0;1430;5;5
Gusman;Patrick;405542;Eysins;975;61.0;1431;4;4
Viva;Sergio;602209;Münchenstein-City;974;-1.0;1432;5;5
Bertato;Alessandro;221001;Omega;974;16.0;1433;5;5
Wagner;Patrick;601216;Olten;974;-9.0;1434;5;5
Lombardet;Daniel;235016;Hauterive;974;6.0;1435;5;5
Crivelli;Adam;300354;Riva S.Vitale;974;12.0;1436;5;5
Carminati;Julien;213024;Nugerol-Le Landeron;974;-6.0;1437;5;5
Roth;Markus;500792;Wohlensee;973;0.0;1438;5;5
Gründken;Peter;609060;Embrach;973;-13.0;1439;5;5
Böhm;Uwe;506038;Ostermundigen;973;0.0;1440;5;5
Hawleri;Mohamed;411079;Nyon;973;0.0;1441;5;5
King;Graham;709138;Wädenswil;973;3.0;1442;5;5
Schaufelberger;Paul;115536;ZZ-Lancy;972;27.0;1443;5;5
Tyack;Stephan;416043;Lausanne;972;-11.0;1444;5;5
Nevejans;Roman;115537;Châtelaine;972;10.0;1445;5;5
Imhof;Nicolas;400977;Vevey;972;5.0;1446;5;5
Hegner;Leo;714010;Wädenswil;971;-38.0;1447;6;6
Haab;Patrick;508021;Port;971;0.0;1448;5;5
Praplan;Pierre-Alain;501900;Wohlensee;971;3.0;1449;5;5
Bissegger;Martin;600999;Schöftland;971;-16.0;1450;6;6
Leiser;Yannick;514063;Lyss;971;5.0;1451;5;5
Jusufi;Hajrulla;703177;Seebach-Kügeliloo;971;-10.0;1452;5;5
Riesen;Alain;504213;Düdingen;971;0.0;1453;5;5
Schlacher;Michael;511096;Affoltern A/A;971;-9.0;1454;6;6
Pottier;Philippe;400541;Crissier;970;-32.0;1455;6;6
Matthey;Cédric;404953;Crissier;970;10.0;1456;5;5
Langianese;Matteo;100833;Mandement;970;-9.0;1457;5;5
Rotzler;Urs;600772;Möhlin;970;-30.0;1458;6;6
Bokel;David;808035;Rapid Luzern;970;0.0;1459;5;5
Gessler;Vincent;707167;BW-Wollishofen;970;-28.0;1460;6;6
Kotliarov;Vladimir;414014;Eysins;970;52.0;1461;4;4
Rudack;Manfred;702506;Imperial Winterthur;970;-18.0;1462;5;5
Utiger;Thomas;702800;Zürich-Affoltern;970;0.0;1463;6;6
d'Aniello;Alfonso;702009;Bremgarten;970;-24.0;1464;6;6
Huber;Beat;700710;Buchs Zürich;969;-4.0;1465;4;4
Gerber;Urs;600490;Oberwil;969;2.0;1466;5;5
Godel;Thomas;610071;Menziken;968;0.0;1467;5;5
Ruedin;Christophe;200002;Coffrane;968;-12.0;1468;5;5
Graf;Ralf;501214;Grenchen;968;-9.0;1469;5;5
Malenovic;Zoran;712085;Urdorf;968;-4.0;1470;5;5
Grillon;Sébastien;223053;Ependes;968;23.0;1471;5;5
Tellenbach;Eric;229047;Tramelan;968;-12.0;1472;5;5
Skultety;Christophe;403312;Rossens;967;-46.0;1473;6;6
Cornu;Donat;700300;Wädenswil;967;0.0;1474;5;5
Salzgeber;Daniel;400760;Brig-Glis;967;0.0;1475;5;5
Rohner;Hanspeter;600033;Aarau;967;63.0;1476;5;5
Markwalder;Nico;615041;Copains Birsfelden;967;12.0;1477;5;5
Ehlers;Günter;801107;Zug;967;36.0;1478;5;5
Qabrati;Muhamet;712111;St. Gallen;967;-15.0;1479;5;5
Zimmerli;Alexandre;100747;UGS-Chênois;967;2.0;1480;5;5
Maggi;Michael;618034;Copains Birsfelden;966;-24.0;1481;5;5
Heim;Roger;703410;Gaiserwald;966;-46.0;1482;6;6
Mathys;Heinz;500369;Lyss;966;-7.0;1483;5;5
Devisme;Jean-Philippe;101799;Mandement;966;14.0;1484;5;5
Gisiger;Frédéric;101010;Bernex;966;6.0;1485;5;5
Clausen;Christian;600222;Möhlin;966;19.0;1486;4;4
Häseli;Andreas;606066;Romanshorn;965;10.0;1487;5;5
Berner;Beat;600157;Lenzburg;965;-19.0;1488;6;6
Matosevic;Miroslav;804054;Emmen;965;7.0;1489;5;5
Stutz;Rainer;616067;Wettingen;965;39.0;1490;5;5
Andres;Olivier;100441;Carouge;965;-15.0;1491;5;5
Tonin;Romeo;600632;KV Liestal;965;0.0;1492;5;5
Bühler;Oliver;617003;Aesch;965;7.0;1493;4;4
Sadiku;Ilir;715176;Uster;965;-25.0;1494;5;5
Scheurer;Michael;502901;Pieterlen;964;4.0;1495;5;5
Riechsteiner;Walter;600488;Döttingen;964;1.0;1496;5;5
Jetzer;Jean-Marc;405423;Villars/Glâne;964;-63.0;1497;6;6
Lorch;Jonas;701539;Affoltern A/A;964;-11.0;1498;5;5
Metz;Raphael;210070;Cernier;963;6.0;1499;5;5
Maurhofer;Julian;504122;Herzogenbuchsee;963;0.0;1500;5;5
Hilff;Daniel;601376;Brugg;963;-43.0;1501;6;6
De Roni;Flavio;802101;Reussbühl;963;0.0;1502;5;5
Dos Santos;Carlos;101851;Onex;962;2.0;1503;5;5
Birchmeier;Peter;700938;Thalwil;962;-16.0;1504;5;5
Palese;Mauro;513012;Thörishaus;962;14.0;1505;5;5
Kerll;Andreas;209026;Delémont;962;-4.0;1506;5;5
Studer;Tobias;803189;Zug;962;1.0;1507;5;5
Weber;Jason;905033;Collombey/Muraz;961;41.0;1508;4;4
Keller;Ralf;812037;Kriens;961;0.0;1509;5;5
Güntert;Peter;600761;Möhlin;961;-15.0;1510;5;5
Gabriel;Markus;703451;Pinguin Zuerich;961;-2.0;1511;6;6
Chiari;Gabriele;104084;UGS-Chênois;961;-20.0;1512;5;5
Bel;Xavier;102174;Versoix;960;27.0;1513;5;5
Straumann;Patrik;600212;Breitenbach;960;0.0;1514;5;5
Krolak;Sébastien;410059;Trams-Renens;960;13.0;1515;5;5
Vilaysane;Jason;718127;St. Gallen;960;108.0;1516;3;3
Wolfer;Thomas;711004;Ettenhausen;960;0.0;1517;5;5
Germanier;Lionel;407081;Trams-Renens;959;14.0;1518;5;5
Morales;Francisco;515161;Bern;959;-34.0;1519;6;6
Flühler;Andreas;802047;Sarnen;959;-19.0;1520;5;5
Lor;Lac;704030;Dübendorf-Volketswil;959;-1.0;1521;5;5
Bellas;Jean;113009;Carouge;959;5.0;1522;5;5
